H11,H12,tx,H21,H22,ty,H31,H32
0.85943294,-0.021071289,0.040998988,0.035949245,0.97415876,-0.092415586,-0.0064393245,-0.096385665
0.9741247,-0.044613324,0.046781115,0.080131926,0.92514724,-0.020458318,0.10070918,-0.03750939
1.0877808,-0.017888188,-0.049546905,0.018597089,1.1584355,-0.08995734,-0.010905772,0.10237717
0.75580984,-0.15046395,0.08978921,-0.120746285,0.7622892,0.06328137,-0.18444777,-0.13241518
1.1610956,0.077624865,-0.09192096,-0.022180747,1.1631689,0.06003495,-0.019619599,0.27230927
0.935562,0.16940449,-0.092100315,-0.122773334,1.1023486,0.098470934,-0.21175222,0.26983976
0.8684731,0.107043415,-0.0038121368,-0.020244285,1.0754154,-0.0081298845,-0.08992246,0.13720982
1.1479411,0.057169657,-0.08538225,0.10512108,1.0273039,-0.023822067,0.06185531,0.1061157
1.1574063,0.06254928,-0.048723083,0.11497983,1.1403458,-0.02378727,0.103743,0.09878098
0.8224257,-0.067437194,0.011085556,-0.047079057,0.83262235,0.016144251,-0.09390612,-0.15558779
0.8380105,0.13559413,-0.031563934,-0.010247186,0.94778484,0.026629549,-0.15456837,0.047171026
1.1266167,0.060753465,-0.026776968,-0.09087275,1.3133721,-0.0026032291,0.004739709,0.22034156
1.1506863,0.083062865,-0.096152976,0.042432312,1.0720181,-0.028797848,0.0897591,-0.024812086
1.029942,0.095091976,-0.07912316,0.09711449,1.0077211,-0.041686736,-0.012747146,0.022327282
1.0282874,-0.0022590745,0.0942034,-0.034449764,1.1150875,0.0696616,0.08946043,0.12096109
0.8360875,0.048683465,0.0037022117,0.0032468662,0.9221805,-0.06416603,-0.07961606,-0.078851625
1.118741,0.12227818,-0.02290912,0.12384874,1.1689436,-0.038992766,0.10281163,0.037492335
0.88525635,-0.08255252,0.07445538,0.043346286,1.0220907,-0.03472615,-0.1100906,0.054030545
1.1637976,0.15776873,-0.096557856,0.10126005,1.1289288,-0.005817189,0.1262174,0.026203312
0.9491729,-0.095467344,0.019193245,-0.008105781,0.9512047,0.012078095,-0.11320689,-0.0015070951
1.1615489,-0.12214565,0.034637023,0.08854304,1.094826,0.0107851615,0.10609409,0.042921156
0.7998003,-0.015434715,0.06923474,-0.116822764,0.90595174,0.022446923,-0.034502983,-0.15557559
0.9326036,0.027382743,-0.033452887,-0.008977763,0.9531459,-0.033371527,-0.0614377,-0.020517193
1.0649467,-0.017521156,-0.046900187,0.028504778,0.93147296,0.03704661,0.10379929,-0.09771732
1.3555596,0.022486039,-0.08205059,0.06731149,1.2167256,-0.05108339,0.2372897,0.0821334
0.9230152,0.14094092,-0.07786891,-0.18227491,1.1479717,0.09661018,-0.11608499,0.21139425
0.9799955,0.022674775,-0.03357271,-0.06572696,0.99392205,0.0070010233,-0.12490262,0.012503846
0.9581374,0.076795965,0.031150863,0.017370038,1.024366,0.06157949,0.06405196,0.090140454
0.8625379,0.11963582,-0.018545087,0.007263299,1.0275412,0.031504985,-0.16467604,0.15919934
0.99042404,-0.0702199,0.015593708,0.023905575,0.9643435,0.021182094,0.034192678,-0.045325264
0.8190355,-0.028621987,0.052312452,-0.11896055,0.856176,0.022832746,-0.037471965,-0.17890719
1.0410435,0.038535923,-0.026974728,0.03687935,0.95518064,-0.024135388,0.06586793,-0.008621926
0.8300786,-0.047846884,0.0078150695,-0.11528048,0.823824,0.034354128,-0.12938651,-0.12158218
0.7892831,-0.021962844,0.056833714,-0.06600225,0.8983446,0.027251313,-0.20511696,0.0063186698
1.0522817,-0.0825274,0.017027041,0.06359071,0.79565716,0.03870042,0.040598854,-0.10819974
1.1060253,0.017304122,-0.007578182,0.0916144,1.1287069,-0.008995132,0.11023116,0.12066378
0.880259,0.023804631,-0.06200214,-0.019130833,0.7764946,0.09555595,-0.10734464,-0.03518012
0.937306,0.04063044,0.019280355,-0.12387679,0.9931707,0.068971306,-0.030605376,-0.0053587314
0.95491815,-0.1229666,0.06628469,0.17812207,0.91896796,-0.08780577,0.074261844,-0.14311235
1.0357893,0.036937065,0.044470243,-0.028457902,1.2397941,-0.075882964,0.062229097,0.068268016
1.1632712,0.02177719,-0.09316298,-0.020741835,1.012649,0.019523045,0.05028998,-0.024543142
1.0945492,0.1476406,-0.09063252,-0.044301547,1.2158028,0.088329844,-0.07543036,0.29969943
1.062668,0.03682047,-0.08054007,0.0756327,1.1640283,-0.075136624,0.077963844,0.00053690764
1.0244585,-0.093930654,0.08047567,-0.0074306615,1.0006523,-0.054168906,0.027845658,-0.096107505
1.0619868,0.07629075,-0.0050718477,0.01531738,0.93739516,0.080910206,0.021855295,0.07067889
1.0792665,0.1399384,-0.05350043,-0.014983278,1.2433141,-0.038005903,-0.058707174,0.15812506
0.78033674,0.06456979,0.015484604,-0.046914797,0.8311095,0.078209795,-0.14974777,-0.046353303
1.0745311,0.12812223,-0.07995501,0.01563776,1.0967635,-0.044151243,0.05924561,0.029273935
1.1818746,-0.040278662,-0.027958347,0.057556964,1.0313386,0.01224569,0.19830507,-0.0301263
1.1675316,-0.09417046,0.0075137303,0.14998832,0.9665578,-0.048172515,0.19808273,-0.1321668
0.97474307,0.080438994,-0.010344906,-0.15163177,1.0596187,0.0935214,-0.077746615,0.12600301
1.1642057,0.07059858,-0.07152045,0.029618246,1.137741,0.02163145,0.05286327,0.19956768
1.1809894,0.13264653,-0.093839765,0.080595836,1.2604244,0.018045915,0.035103217,0.30798757
1.0305307,-0.028356388,-0.016520668,0.11423613,0.9576454,-0.012639715,0.05509936,-0.058174573
1.2337322,-0.09427367,0.048625223,0.103236295,1.1476841,-0.0762968,0.20045012,0.05436003
0.9461643,0.048129566,0.008687839,0.0799045,1.0941052,-0.034717117,0.00769604,0.041318838
0.68402165,-0.07139948,0.08916763,-0.10761057,0.76786196,0.05353363,-0.19309631,-0.12895253
0.929839,-0.052463334,-0.036220886,-0.0042038704,0.8812838,0.0058340207,-0.023113482,-0.053565223
0.7583112,-0.032201022,0.063385844,0.01187893,0.8717509,0.058266383,-0.11426441,-0.016566772
1.0369846,0.14031655,-0.031261884,0.029685557,1.1937052,-0.04441716,-0.0067277104,0.23098552
1.222489,-0.023523621,0.010355196,0.06905047,1.1216816,0.020106155,0.1631749,0.10785171
0.7829512,-0.10871135,0.05766012,-0.0797105,0.770716,0.05306016,-0.07007571,-0.23401333
0.901181,-0.044904858,0.09764278,-0.01692028,1.0603535,-0.06446404,0.0037134327,0.007911833
0.9427726,-0.069043525,0.091757886,-0.02929806,1.1121277,0.04145871,-0.04630385,0.07010022
0.87753093,-0.02033883,-0.041195087,-0.0130616985,0.86581856,-0.035189703,-0.076478705,-0.124991484
0.9530805,0.05533135,0.04544213,0.075773455,1.1107677,-0.018436594,0.10374536,0.06109791
0.8298393,0.0114657935,0.008356127,-0.083283365,0.8693543,0.038163416,-0.075507805,-0.020198049
1.0326061,0.15450345,-0.080495514,-0.10741515,1.3890697,0.036369536,-0.08566859,0.3037517
