H11,H12,tx,H21,H22,ty,H31,H32
0.818225,-0.281849,0.064306,0.265378,0.932733,-0.078015,-0.006439,-0.096386
-0.975187,0.031160,-0.046479,-0.065963,-0.925698,0.021136,0.100709,-0.037509
0.228954,-1.132223,0.076353,1.063576,0.245692,-0.068684,-0.010906,0.102377
0.398858,-0.762292,-0.024421,0.653254,0.150448,0.107099,-0.184448,-0.132415
-0.277767,-1.143890,-0.034321,1.127599,-0.224729,-0.104287,-0.019620,0.272309
-0.822169,-0.568521,0.048702,0.463020,-0.959507,-0.125726,-0.211752,0.269840
0.412346,-0.909583,0.005513,0.764608,0.583640,-0.007088,-0.089922,0.137210
-0.642453,-0.929023,0.061830,0.957117,-0.442197,-0.063519,0.061855,0.106116
-1.162729,-0.203540,0.051298,0.029499,-1.123776,0.017559,0.103743,0.098781
-0.713249,-0.314484,-0.017165,0.412160,-0.773891,-0.009428,-0.093906,-0.155588
0.826811,-0.032790,-0.035746,0.136934,0.956873,0.020679,-0.154568,0.047171
0.716322,-1.044966,-0.013110,0.874303,0.797924,-0.023493,0.004740,0.220342
0.421298,-0.949337,-0.012059,1.071628,0.504859,-0.099646,0.089759,-0.024812
0.962580,-0.188186,-0.064454,0.379013,0.994550,-0.062000,-0.012747,0.022327
0.975386,-0.392139,0.063888,0.327388,1.043864,0.098211,0.089460,0.120961
0.167278,-0.892887,0.063573,0.819189,0.235670,-0.009457,-0.079616,-0.078852
-1.117110,-0.388853,0.031293,0.137785,-1.109132,0.032650,0.102812,0.037492
-0.489760,-0.836277,-0.008212,0.738710,-0.593401,0.081744,-0.110091,0.054031
-1.026330,-0.754710,0.083726,0.557965,-0.854274,-0.048448,0.126217,0.026203
-0.925932,-0.108117,-0.021316,0.208911,-0.949850,-0.007740,-0.113207,-0.001507
-1.154385,-0.109488,-0.036127,0.156300,-1.096164,-0.003304,0.106094,0.042921
-0.719304,-0.277763,-0.072774,0.368686,-0.862458,0.001098,-0.034503,-0.155576
0.915637,-0.163375,-0.026121,0.177310,0.939439,-0.039376,-0.061438,-0.020517
-0.484195,-0.833193,-0.013247,0.948936,-0.416820,-0.058280,0.103799,-0.097717
0.470776,-1.110014,0.014732,1.272966,0.498795,-0.095524,0.237290,0.082133
0.172359,-1.149418,-0.095769,0.924918,0.128614,-0.078901,-0.116085,0.211394
0.980379,0.016605,-0.033615,-0.059741,0.994042,0.006796,-0.124903,0.012504
-0.852748,-0.551488,-0.056541,0.437207,-0.866651,-0.039567,0.064052,0.090140
0.158203,-0.985556,-0.034476,0.847936,0.314377,-0.012162,-0.164676,0.159199
-0.769140,-0.572284,-0.025610,0.624448,-0.779346,-0.006000,0.034193,-0.045325
-0.007842,-0.841699,-0.030573,0.827592,-0.159371,0.048200,-0.037472,-0.178907
-1.010961,-0.300035,0.032577,0.251175,-0.907653,0.015776,0.065868,-0.008622
0.244743,-0.821061,-0.032692,0.801512,0.082671,0.013135,-0.129387,-0.121582
-0.774502,-0.092348,-0.059835,0.165744,-0.893855,-0.019810,-0.205117,0.006319
0.358651,-0.763211,-0.028783,0.991317,0.239561,0.030970,0.040599,-0.108200
0.757747,-0.745422,0.000429,0.810867,0.847717,-0.011754,0.110231,0.120664
-0.524557,-0.628040,-0.037479,0.707151,-0.457248,-0.107566,-0.107345,-0.035180
-0.890854,-0.246888,-0.033242,0.316651,-0.962853,-0.063433,-0.030605,-0.005359
-0.444812,-0.844962,0.065076,0.863562,-0.381656,0.088706,0.074262,-0.143112
-0.273682,-1.197053,0.059691,0.999384,-0.324835,0.064597,0.062229,0.068268
-0.938328,-0.601846,0.064846,0.687873,-0.814686,-0.069681,0.050290,-0.024543
0.803894,-0.757113,-0.126542,0.744148,0.962680,-0.001866,-0.075430,0.299699
-1.065225,-0.101178,0.084575,-0.016712,-1.160207,0.070565,0.077964,0.000537
0.626739,-0.852902,0.091858,0.810413,0.531683,0.031189,0.027846,-0.096108
0.541692,-0.759481,-0.071643,0.913576,0.554724,0.037940,0.021855,0.070679
-0.729445,-1.000663,0.064354,0.795582,-0.751056,-0.012857,-0.058707,0.158125
0.781448,0.037558,0.012938,-0.021560,0.832767,0.078671,-0.149748,-0.046353
-0.466144,-1.048919,0.073686,0.968282,-0.345070,-0.053968,0.059246,0.029274
1.142545,-0.258861,-0.029924,0.307783,0.999136,0.006015,0.198305,-0.030126
-0.032333,-0.971130,0.048683,1.176682,0.003081,0.002653,0.198083,-0.132167
-0.865500,-0.435135,-0.021995,0.473313,-0.969494,-0.091485,-0.077747,0.126003
0.962290,-0.557372,-0.071828,0.655935,0.994372,-0.020589,0.052863,0.199568
-0.753466,-1.101758,0.039996,0.912973,-0.626413,-0.086786,0.035103,0.307988
0.130497,-0.937613,0.008415,1.028598,0.196900,-0.019023,0.055099,-0.058175
0.604849,-1.003908,0.090443,1.080236,0.564124,-0.002398,0.200450,0.054360
-0.200066,-1.091295,0.033324,0.928216,-0.091971,0.013050,0.007696,0.041319
0.680616,-0.324131,0.066125,0.127388,0.699749,0.080276,-0.193096,-0.128953
0.538833,-0.750741,-0.025626,0.757811,0.464545,-0.026255,-0.023113,-0.053565
-0.713735,-0.277446,-0.079867,0.256437,-0.827049,-0.032155,-0.114264,-0.016567
0.088553,-1.169973,0.040570,1.033623,0.275290,-0.036115,-0.006728,0.230986
-1.222362,-0.104963,-0.012588,0.071269,-1.117007,-0.018789,0.163175,0.107852
-0.736166,-0.093018,-0.069360,0.278255,-0.772767,-0.036459,-0.070076,-0.234013
0.525133,-0.898719,0.108477,0.732563,0.564508,0.043846,0.003713,0.007912
-0.263061,-1.036545,-0.067751,0.905802,-0.408864,0.074486,-0.046304,0.070100
0.505289,-0.726721,0.005857,0.717576,0.471096,-0.053861,-0.076479,-0.124991
0.372478,-0.959965,0.037322,0.880548,0.561546,0.031811,0.103745,0.061098
0.662329,-0.586261,-0.020007,0.506842,0.642033,0.033556,-0.075508,-0.020198
0.988557,-0.417438,-0.088326,0.317126,1.333841,0.000909,-0.085669,0.303752
-1.050695,-0.576224,0.077856,0.462277,-0.817138,0.061343,0.165314,-0.023921
0.397505,-0.930833,0.077868,0.841954,0.575177,-0.003823,-0.036821,0.046649
-0.814895,-0.195680,-0.062438,0.290725,-1.031087,0.014443,-0.052568,-0.017762
1.152028,-0.369620,0.091558,0.456598,1.122460,-0.043014,0.204294,0.061783
0.579806,-0.688739,-0.017408,0.617128,0.401081,0.091459,-0.040696,-0.184428
0.432914,-0.791764,-0.067047,0.851444,0.457891,-0.047941,-0.149564,0.053362
0.218253,-0.892728,-0.042417,0.765158,0.119526,0.021132,-0.234652,0.019438
0.671662,-0.789443,0.071735,0.844023,0.816408,-0.060254,0.109713,0.089852
0.596147,-0.654441,-0.041251,0.560693,0.511869,0.100664,-0.130474,-0.008162
0.178199,-0.914506,-0.028431,1.028785,0.087962,0.041908,0.050109,-0.062458
-0.144255,-0.966340,0.046144,1.048248,-0.168980,0.082983,0.133949,-0.093002
-0.767478,-1.053611,0.062028,0.788270,-0.754001,0.041203,0.085224,0.178253
-0.965452,-0.667971,0.059030,0.530345,-1.075384,0.031851,0.000050,0.279479
0.016501,-0.888640,0.099419,1.005856,-0.021200,0.042887,0.137027,-0.239435
0.795276,-0.562732,-0.075975,0.506744,0.910566,-0.037561,-0.077791,-0.005131
1.004022,-0.330211,-0.040461,0.462431,1.127835,-0.065956,0.017994,0.154075
-0.832264,-0.135232,0.001969,0.252413,-0.919195,-0.026814,-0.055716,-0.112801
-0.968878,-0.688759,0.038396,0.656860,-0.952499,-0.004784,0.093219,0.076693
0.892780,-0.284112,-0.035381,0.220257,0.809248,0.093533,-0.053171,-0.120078
-0.647795,-0.633009,-0.019354,0.684473,-0.651279,0.092648,0.087096,-0.141191
1.122983,-0.369975,-0.036762,0.474415,1.268708,-0.058484,0.057320,0.263000
0.973246,-0.335848,-0.037486,0.638657,0.952180,-0.097712,0.171756,-0.080100
-0.583598,-0.538620,-0.066177,0.655325,-0.563929,-0.050510,-0.149940,-0.060321
-0.831685,-0.074706,-0.029036,0.149184,-0.856566,-0.089934,-0.165568,0.035095
0.799158,-0.673950,-0.029693,0.690293,0.756642,0.063405,0.046782,0.055754
-1.332227,-0.226390,0.084615,-0.060307,-1.111494,0.021539,0.224818,0.059642
0.981901,-0.341880,-0.011873,0.358191,0.718721,0.098473,0.021270,-0.059452
0.133159,-1.165728,0.056966,1.083771,0.323964,-0.068339,-0.039067,0.205589
-0.864975,-0.752948,-0.067799,0.646873,-0.898391,0.011695,0.066870,0.230299
0.029373,-0.723226,-0.097029,0.772664,-0.079572,0.006943,-0.161700,-0.106298
1.205238,0.021076,-0.059712,0.096863,1.049961,0.005634,0.124506,0.011675
0.298593,-0.974218,0.012500,0.766400,0.435432,-0.042906,-0.162992,0.148832
0.740463,-0.972447,-0.024202,0.848049,0.773081,0.027571,0.052069,0.168930
-0.966921,-0.372041,0.005377,0.405480,-0.967196,0.034274,0.077730,-0.058077
-0.541898,-0.568612,-0.074608,0.628971,-0.529624,0.029771,-0.007341,-0.145797
-0.947249,-1.002366,0.096464,1.039474,-0.752590,0.009427,0.272487,0.111513
0.235176,-0.733145,-0.034876,0.752725,0.089438,0.086762,-0.066630,-0.125768
0.604888,-0.716202,0.057299,0.818601,0.698227,0.011880,0.089822,0.001749
0.684590,-0.849510,0.050046,1.080802,0.702343,-0.070443,0.173444,0.046790
-0.449325,-0.788709,-0.094055,0.907300,-0.600495,-0.004291,0.032986,-0.020637
-0.314064,-0.789196,0.016831,0.766801,-0.479916,0.098971,-0.045600,-0.159439
-0.560067,-0.462137,-0.030446,0.642105,-0.593355,-0.086798,-0.190181,-0.079750
-0.912942,-0.411259,-0.005821,0.368283,-0.921627,0.029538,0.056145,-0.084102
1.054061,-0.178240,-0.028892,0.265995,0.998908,-0.095068,0.094172,-0.150319
-0.890175,-0.083478,-0.032159,0.067741,-0.849899,-0.094158,-0.067096,-0.034044
-0.404075,-0.965624,0.060687,0.865090,-0.294581,0.015000,0.018868,0.022882
-0.728375,-1.105218,0.078248,0.951117,-0.516139,0.019274,0.154561,0.062775
0.777231,-0.779643,0.067110,0.713457,0.744168,-0.058411,0.001059,-0.008306
-0.878354,-0.533276,0.033012,0.456226,-0.816067,0.056714,-0.031230,0.004876
1.062052,-0.244285,0.024906,0.267830,1.121489,-0.065047,0.078238,-0.020282
-0.843986,-0.215151,-0.019908,0.388490,-0.880834,-0.070561,-0.155976,0.012363
0.876664,-0.223235,0.087716,0.155865,0.912027,-0.013542,0.045949,-0.079988
-0.176476,-1.143278,0.041823,1.057595,-0.103935,0.027607,0.069359,0.050784
0.941164,-0.229600,0.036191,0.418010,0.827107,-0.066300,0.108736,-0.189637
0.880852,-0.083013,-0.042930,0.161644,0.800901,0.056292,-0.069023,-0.081271
0.739164,-0.537988,-0.092681,0.529153,0.737219,-0.002518,-0.172717,0.067076
0.909275,-0.197706,0.020243,0.091049,0.962012,0.000005,0.000428,-0.092758
-1.067066,-0.319215,0.064626,0.261375,-1.097701,-0.095049,0.009203,0.130282
0.745197,-0.343382,0.042111,0.156734,0.736467,0.058170,-0.108706,-0.169938
-0.782414,-0.880842,0.050074,0.681000,-0.776163,0.076053,0.159116,0.040832
-0.873556,-0.313449,0.063599,0.321269,-0.830021,-0.041025,-0.067432,-0.087281
0.743923,-0.755328,0.081139,0.837248,0.802919,-0.022318,0.112168,0.039470
0.668601,-0.639125,-0.052121,0.706121,0.635921,0.035530,-0.068531,0.064490
-0.927917,-0.378098,0.022408,0.344643,-1.068795,-0.087221,-0.142878,0.152885
0.872972,-0.627473,-0.002499,0.733015,1.044308,-0.064931,0.092491,0.057275
0.165509,-1.033850,-0.000351,0.973933,0.338423,0.025846,-0.023221,0.139897
-0.947100,-0.246331,-0.034844,0.233186,-0.956983,0.033209,0.059898,-0.061382
0.856197,0.017317,0.058732,-0.047349,1.069870,0.022186,-0.132627,0.164504
0.298650,-1.145816,-0.088395,1.065687,0.200182,-0.051948,-0.047382,0.130715
0.822294,-0.673148,-0.028902,0.854192,0.660643,0.009647,0.081198,0.020827
-0.339799,-1.028913,-0.055239,0.827713,-0.473191,-0.019085,-0.044660,0.135331
