Source(current), Target(past)
GoogleEarth/current/TrainVal/36.405700127.30818099999999.jpg,GoogleEarth/past/TrainVal/36.405700127.30818099999999.jpg
GoogleEarth/current/TrainVal/36.023100129.368223.jpg,GoogleEarth/past/TrainVal/36.023100129.368223.jpg
GoogleEarth/current/TrainVal/35.098340129.0986.jpg,GoogleEarth/past/TrainVal/35.098340129.0986.jpg
GoogleEarth/current/TrainVal/36.575100129.298223.jpg,GoogleEarth/past/TrainVal/36.575100129.298223.jpg
GoogleEarth/current/TrainVal/37.492000126.9185.jpg,GoogleEarth/past/TrainVal/37.492000126.9185.jpg
GoogleEarth/current/TrainVal/35.176340129.172100.jpg,GoogleEarth/past/TrainVal/35.176340129.172100.jpg
GoogleEarth/current/TrainVal/35.092340129.0426.jpg,GoogleEarth/past/TrainVal/35.092340129.0426.jpg
GoogleEarth/current/TrainVal/37.564000126.8415.jpg,GoogleEarth/past/TrainVal/37.564000126.8415.jpg
GoogleEarth/current/TrainVal/35.963100129.277223.jpg,GoogleEarth/past/TrainVal/35.963100129.277223.jpg
GoogleEarth/current/TrainVal/36.635100129.287723.jpg,GoogleEarth/past/TrainVal/36.635100129.287723.jpg
GoogleEarth/current/TrainVal/36.357700127.385181.jpg,GoogleEarth/past/TrainVal/36.357700127.385181.jpg
GoogleEarth/current/TrainVal/37.516900126.617565.jpg,GoogleEarth/past/TrainVal/37.516900126.617565.jpg
GoogleEarth/current/TrainVal/36.381700127.353681.jpg,GoogleEarth/past/TrainVal/36.381700127.353681.jpg
GoogleEarth/current/TrainVal/35.489100129.273723.jpg,GoogleEarth/past/TrainVal/35.489100129.273723.jpg
GoogleEarth/current/TrainVal/36.191100129.357723.jpg,GoogleEarth/past/TrainVal/36.191100129.357723.jpg
GoogleEarth/current/TrainVal/36.029100129.336723.jpg,GoogleEarth/past/TrainVal/36.029100129.336723.jpg
GoogleEarth/current/TrainVal/37.516900126.631565.jpg,GoogleEarth/past/TrainVal/37.516900126.631565.jpg
